"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3856","Verify 404 page is displayed","tests","2026-06-18","passed","2026-06-18","","test_404","",""
"","4239","Verify meta description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","9397","Verify interactive map search by city name","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","7442","Verify map search input field is displayed","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","13042","Verify invalid tracking number","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","40517","Verify geolocation and map filters","tests","2026-06-18","passed","2026-06-18","","test_map_features","",""
"","7681","Verify pickup points map page opens successfully","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","13040","Verify tracking search with letters and symbols","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","4791","Verify Open Graph URL","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","7748","Verify interactive map search by ZIP postal code","tests","2026-06-18","passed","2026-06-18","","test_pickup_points","",""
"","4745","Verify homepage opens successfully","tests","2026-06-18","passed","2026-06-18","","test_homepage","",""
"","4263","Verify Open Graph title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","12924","Verify shipment tracking history","tests","2026-06-18","passed","2026-06-18","","test_tracking","",""
"","4804","Verify language selector works","tests","2026-06-18","passed","2026-06-18","","test_language_switch","",""
"","4471","Verify navigation menu and links","tests","2026-06-18","passed","2026-06-18","","test_navigation","",""
"","4425","Verify Open Graph description","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
"","4111","Verify page title","tests","2026-06-18","passed","2026-06-18","","test_meta_tegs","",""
