"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Homepage","0","0","Homepage Availability","0"
"1","","0","Meta Tags","0","0","Meta Description","0"
"2","","0","Pickup Points Map","0","0","Search By Criteria","0"
"1","","0","Pickup Points Map","0","0","Map Page Navigation","0"
"1","","0","Tracking","0","0","Letters and symbols","0"
"1","","0","Error Handling","0","0","404 Page","0"
"1","","0","Navigation","0","0","Main Menu","0"
"1","","0","Localization","0","0","Language Switch","0"
"1","","0","Map Features","0","0","Filters and Geolocation","0"
"1","","0","Pickup Points Map","0","0","Search Field Verification","0"
"1","","0","Tracking","0","0","Valid tracking number","0"
"1","","0","Meta Tags","0","0","Page Title","0"
"1","","0","Tracking","0","0","Invalid tracking number","0"
"3","","0","Meta Tags","0","0","Open Graph","0"
