"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Error Handling","1","0","404 Page","0"
"0","","0","Meta Tags","3","0","Open Graph","0"
"0","","0","Navigation","1","0","Main Menu","0"
"0","","0","Tracking","1","0","Letters and symbols","0"
"0","","0","Pickup Points Map","2","0","Search By Criteria","0"
"0","","0","Homepage","1","0","Homepage Availability","0"
"0","","0","Meta Tags","1","0","Meta Description","0"
"0","","0","Pickup Points Map","1","0","Search Field Verification","0"
"0","","0","Meta Tags","1","0","Page Title","0"
"0","","0","Pickup Points Map","1","0","Map Page Navigation","0"
"0","","0","Tracking","1","0","Valid tracking number","0"
"0","","0","Map Features","1","0","Filters and Geolocation","0"
"0","","0","Localization","1","0","Language Switch","0"
"0","","0","Tracking","1","0","Invalid tracking number","0"
