"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10175","Verify interactive map search by ZIP postal code","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","13126","Verify shipment detailed info and status table columns","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","7343","Verify 404 page is displayed","tests","2026-06-16","passed","2026-06-16","","test_404","",""
"","16085","Verify meta description","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","12279","Verify error message for non-existing shipment ID","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","8660","Verify interactive map search by city name","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","9964","Verify pickup points map page opens successfully","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","39199","Verify geolocation and map filters","tests","2026-06-16","passed","2026-06-16","","test_map_features","",""
"","8580","Verify map search input field is displayed","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","14763","Verify Open Graph URL","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","14688","Verify homepage opens successfully","tests","2026-06-16","passed","2026-06-16","","test_homepage","",""
"","12643","Verify existing shipment can be tracked successfully","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","15949","Verify Open Graph title","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","13531","Verify Open Graph description","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","14185","Verify page title","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","16272","Verify language selector works","tests","2026-06-16","passed","2026-06-16","","test_language_switch","",""
"","10490","Verify tracking number can be entered into the field","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","14783","Verify navigation menu and links","tests","2026-06-16","passed","2026-06-16","","test_navigation","",""
"","12584","Verify inline validation message for invalid chars format","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
