"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10823","Verify inline validation message for invalid chars format","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","14812","Verify meta description","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","11416","Verify tracking number can be entered into the field","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","15915","Verify navigation menu and links","tests","2026-06-16","passed","2026-06-16","","test_navigation","",""
"","9498","Verify map search input field is displayed","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","9092","Verify interactive map search by city name","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","14916","Verify Open Graph title","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","39864","Verify geolocation and map filters","tests","2026-06-16","passed","2026-06-16","","test_map_features","",""
"","15995","Verify page title","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","16685","Verify Open Graph URL","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","14478","Verify Open Graph description","tests","2026-06-16","passed","2026-06-16","","test_meta_tegs","",""
"","13300","Verify shipment detailed info and status table columns","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","11462","Verify error message for non-existing shipment ID","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","13988","Verify homepage opens successfully","tests","2026-06-16","passed","2026-06-16","","test_homepage","",""
"","9337","Verify 404 page is displayed","tests","2026-06-16","passed","2026-06-16","","test_404","",""
"","12723","Verify existing shipment can be tracked successfully","tests","2026-06-16","passed","2026-06-16","","test_tracking","",""
"","9918","Verify interactive map search by ZIP postal code","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","15550","Verify company logo is displayed","tests","2026-06-16","passed","2026-06-16","","test_logo","",""
"","8470","Verify pickup points map page opens successfully","tests","2026-06-16","passed","2026-06-16","","test_pickup_points","",""
"","30163","Verify language selector works","tests","2026-06-16","passed","2026-06-16","","test_language_switch","",""
